2017/12/07 02:13:23 socat[9526] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:13:23 socat[9528] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:13:24 socat[9536] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:13:24 socat[9538] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:13:27 socat[9568] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:14:17 socat[14155] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:14:17 socat[14157] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:14:17 socat[14159] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:14:18 socat[14167] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:14:20 socat[14189] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:14:21 socat[14199] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:16:42 socat[14585] E write(5, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:17:09 socat[17766] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:17:09 socat[17794] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:17:09 socat[17796] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:17:09 socat[17798] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:17:09 socat[17824] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:17:09 socat[17826] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:17:10 socat[18204] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:17:11 socat[18284] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:17:11 socat[18336] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:17:11 socat[18338] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:17:12 socat[18346] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:17:37 socat[22960] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:17:38 socat[22964] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:17:51 socat[23372] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:18:01 socat[23376] E write(5, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:19:04 socat[26589] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:19:04 socat[26591] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:19:04 socat[26593] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:19:04 socat[26595] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:19:04 socat[26607] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:19:05 socat[26997] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:19:05 socat[27001] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:19:05 socat[27041] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:19:06 socat[27121] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:19:06 socat[27135] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:19:07 socat[27143] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:19:10 socat[27175] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:19:32 socat[31758] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:19:32 socat[31760] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:19:33 socat[31768] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:19:34 socat[31780] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:19:54 socat[2781] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:19:55 socat[2825] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:19:55 socat[2909] E write(6, 0x55a667eb0640, 20): Broken pipe
