2018/03/06 03:04:35 socat[21792] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21794] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21796] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21798] E write(6, 0x561b1ef4b700, 10): Broken pipe
2018/03/06 03:04:35 socat[21800] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21802] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21804] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21806] E write(6, 0x561b1ef4b700, 2502): Broken pipe
2018/03/06 03:04:35 socat[21808] E write(6, 0x561b1ef4b700, 2502): Broken pipe
2018/03/06 03:04:35 socat[21810] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21812] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21814] E write(6, 0x561b1ef4b700, 360): Broken pipe
2018/03/06 03:04:36 socat[21816] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21818] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21820] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21822] E write(6, 0x561b1ef4b700, 10): Broken pipe
2018/03/06 03:04:36 socat[21824] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21826] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21828] E write(6, 0x561b1ef4b700, 666): Broken pipe
2018/03/06 03:04:36 socat[21830] E write(6, 0x561b1ef4b700, 418): Broken pipe
2018/03/06 03:04:36 socat[21832] E write(6, 0x561b1ef4b700, 603): Broken pipe
2018/03/06 03:04:36 socat[21834] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21836] E write(6, 0x561b1ef4b700, 261): Broken pipe
2018/03/06 03:04:36 socat[21838] E write(6, 0x561b1ef4b700, 1161): Broken pipe
2018/03/06 03:04:36 socat[21840] E write(6, 0x561b1ef4b700, 810): Broken pipe
2018/03/06 03:04:36 socat[21842] E write(6, 0x561b1ef4b700, 891): Broken pipe
2018/03/06 03:04:36 socat[21844] E write(6, 0x561b1ef4b700, 12): Broken pipe
2018/03/06 03:04:36 socat[21846] E write(6, 0x561b1ef4b700, 648): Broken pipe
2018/03/06 03:04:36 socat[21848] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21850] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21852] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21854] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21856] E write(6, 0x561b1ef4b700, 12): Broken pipe
2018/03/06 03:04:36 socat[21858] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21860] E write(6, 0x561b1ef4b700, 2502): Broken pipe
2018/03/06 03:04:36 socat[21862] E write(6, 0x561b1ef4b700, 1098): Broken pipe
2018/03/06 03:04:36 socat[21864] E write(6, 0x561b1ef4b700, 495): Broken pipe
2018/03/06 03:04:36 socat[21866] E write(6, 0x561b1ef4b700, 558): Broken pipe
2018/03/06 03:04:36 socat[21868] E write(6, 0x561b1ef4b700, 620): Broken pipe
2018/03/06 03:04:36 socat[21870] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21872] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21874] E write(6, 0x561b1ef4b700, 495): Broken pipe
2018/03/06 03:04:36 socat[21876] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21878] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21880] E write(6, 0x561b1ef4b700, 549): Broken pipe
2018/03/06 03:04:36 socat[21882] E write(6, 0x561b1ef4b700, 567): Broken pipe
2018/03/06 03:04:36 socat[21884] E write(6, 0x561b1ef4b700, 790): Broken pipe
2018/03/06 03:04:36 socat[21886] E write(6, 0x561b1ef4b700, 612): Broken pipe
2018/03/06 03:04:36 socat[21888] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21890] E write(6, 0x561b1ef4b700, 603): Broken pipe
2018/03/06 03:04:36 socat[21892] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21894] E write(6, 0x561b1ef4b700, 972): Broken pipe
2018/03/06 03:04:36 socat[21896] E write(6, 0x561b1ef4b700, 2493): Broken pipe
2018/03/06 03:04:36 socat[21898] E write(6, 0x561b1ef4b700, 1035): Broken pipe
2018/03/06 03:04:36 socat[21900] E write(6, 0x561b1ef4b700, 830): Broken pipe
2018/03/06 03:04:36 socat[21902] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21904] E write(6, 0x561b1ef4b700, 513): Broken pipe
2018/03/06 03:04:36 socat[21906] E write(6, 0x561b1ef4b700, 1089): Broken pipe
2018/03/06 03:04:36 socat[21908] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21910] E write(6, 0x561b1ef4b700, 612): Broken pipe
2018/03/06 03:04:36 socat[21912] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21914] E write(6, 0x561b1ef4b700, 549): Broken pipe
2018/03/06 03:04:36 socat[21916] E write(6, 0x561b1ef4b700, 10): Broken pipe
2018/03/06 03:04:36 socat[21918] E write(6, 0x561b1ef4b700, 432): Broken pipe
2018/03/06 03:04:36 socat[21920] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21922] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21924] E write(6, 0x561b1ef4b700, 610): Broken pipe
2018/03/06 03:04:36 socat[21926] E write(6, 0x561b1ef4b700, 729): Broken pipe
2018/03/06 03:04:36 socat[21928] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21930] E write(6, 0x561b1ef4b700, 612): Broken pipe
2018/03/06 03:04:36 socat[21932] E write(6, 0x561b1ef4b700, 882): Broken pipe
2018/03/06 03:04:36 socat[21934] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21936] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21938] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21940] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21942] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21944] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21946] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21948] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21950] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21952] E write(6, 0x561b1ef4b700, 560): Broken pipe
2018/03/06 03:04:36 socat[21954] E write(6, 0x561b1ef4b700, 612): Broken pipe
2018/03/06 03:04:36 socat[21956] E write(6, 0x561b1ef4b700, 2502): Broken pipe
2018/03/06 03:04:36 socat[21958] E write(6, 0x561b1ef4b700, 558): Broken pipe
2018/03/06 03:04:36 socat[21960] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21962] E write(6, 0x561b1ef4b700, 117): Broken pipe
2018/03/06 03:04:36 socat[21964] E write(6, 0x561b1ef4b700, 2502): Broken pipe
2018/03/06 03:04:36 socat[21966] E write(6, 0x561b1ef4b700, 531): Broken pipe
2018/03/06 03:04:36 socat[21968] E write(6, 0x561b1ef4b700, 10): Broken pipe
2018/03/06 03:04:36 socat[21970] E write(6, 0x561b1ef4b700, 576): Broken pipe
2018/03/06 03:04:36 socat[21972] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21974] E write(6, 0x561b1ef4b700, 594): Broken pipe
2018/03/06 03:04:36 socat[21976] E write(6, 0x561b1ef4b700, 2502): Broken pipe
2018/03/06 03:04:36 socat[21978] E write(6, 0x561b1ef4b700, 2502): Broken pipe
2018/03/06 03:04:36 socat[21980] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:36 socat[21982] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21984] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21986] E write(6, 0x561b1ef4b700, 2502): Broken pipe
2018/03/06 03:04:36 socat[21988] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21990] E write(6, 0x561b1ef4b700, 351): Broken pipe
2018/03/06 03:04:36 socat[21992] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21994] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:36 socat[21996] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[21998] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[22000] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[22002] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[22004] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[22006] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[22008] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[22010] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[22012] E write(6, 0x561b1ef4b700, 10): Broken pipe
2018/03/06 03:04:36 socat[22014] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[22016] E write(6, 0x561b1ef4b700, 2502): Broken pipe
2018/03/06 03:04:36 socat[22018] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:36 socat[22020] E write(6, 0x561b1ef4b700, 9): Broken pipe
